,m/z,I,normalised_intensity
208,8194.54272,3665072,0.005289795825527651
210,8195.51233,3013102,0.004281807065082383
213,8197.43437,1302661,0.0016373521002760831
216,8198.06621,663835,0.0006496848335610372
219,8200.63111,514733,0.00041916327557537796
221,8201.57763,834852,0.0009140884316484773
223,8205.09155,431407,0.0002903357659463116
225,8207.94723,564663,0.000496358359412107
229,8210.0399,496644,0.0003911964846376132
232,8211.78662,558045,0.00048612649350320507
235,8216.07458,435108,0.00029605775683915625
238,8219.36022,393986,0.00023248042382225325
243,8222.62442,717651,0.0007328879305319447
246,8224.16493,1195200,0.0014712102836492308
251,8228.28534,1533377,0.001994054302608844
253,8230.23425,972968,0.0011276249066974192
255,8233.1154,806025,0.0008695199821839993
258,8237.87828,705279,0.000713759999884478
262,8240.76414,600271,0.0005514106835710945
265,8245.93195,359777,0.0001795910462342167
268,8254.64245,965098,0.0011154573659444638
271,8256.26877,502361,0.00040003534492791124
275,8259.1807,724872,0.0007440520743409776
277,8259.89208,932415,0.0010649272853308885
281,8263.14171,1537454,0.0020003576143813725
283,8264.72474,1569614,0.0020500791023883667
288,8269.1468,809293,0.0008745725264255062
291,8272.13177,585778,0.0005290035465783903
294,8275.71967,875760,0.000977334906505135
300,8284.58479,813724,0.000881423145621992
303,8289.90441,997411,0.0011654154020753716
306,8291.84489,896029,0.0010086721216921299
308,8292.94848,763701,0.0008040842776315116
313,8294.87863,813557,0.0008811649525717071
315,8296.05899,775351,0.0008220959485046918
318,8298.1185,615962,0.0005756700078347059
321,8302.77298,700094,0.0007057436467962858
323,8313.04569,678456,0.0006722898670234209
325,8318.46031,900571,0.0010156943542334162
330,8397.33914,2075269,0.0028318551912620135
333,8428.52879,5190583,0.007648336773632043
340,8450.59942,19633372,0.029977844237905775
343,8452.61411,13417225,0.020367269657364385
349,8506.69092,2787076,0.003932355913083976
353,8518.37996,21172058,0.032356754607791645
355,8521.39277,30646486,0.04700484721273962
357,8524.39924,25181402,0.038555465727565054
366,8541.99067,2787804,0.003933481449255278
369,8544.63495,5336980,0.007874676222629553
373,8545.82998,6820600,0.010168450912832794
375,8546.83435,12253198,0.018567606892429155
377,8547.84441,21210810,0.032416667763987134
379,8548.85758,25839482,0.03957290095230518
381,8549.86353,29644004,0.04545494370713554
383,8550.87837,25619474,0.03923275402651405
385,8551.88175,20978416,0.03205737126262217
387,8552.89144,14223481,0.021613794782817337
389,8553.90048,9992543,0.015072484676308175
391,8554.9118,6364344,0.00946304894665994
393,8555.90914,4551413,0.006660137660154733
396,8557.57065,2911932,0.004125391550727049
399,8559.6218,29079840,0.044582708832758125
401,8560.62944,128477208,0.19825761682214735
406,8561.62558,316111424,0.4883525303963296
411,8562.62664,509842336,0.7878733394010556
416,8563.63076,645797888,0.9980696188865106
421,8564.63525,647046464,1.0
426,8565.624,551715648,0.8526122504838016
431,8566.62832,420327936,0.6494781538894495
436,8567.63704,284132672,0.43891126379040196
440,8568.64738,174457200,0.2693457269213288
445,8569.64169,95087912,0.1466355558574095
449,8570.64396,52749532,0.0811776188734061
452,8571.65342,25391834,0.03888080752371828
454,8572.63038,12408988,0.01880846854095557
456,8573.63957,6584502,0.009803427782376476
460,8577.62618,6598846,0.009825604555509944
462,8578.61176,8475647,0.01272726308825292
464,8580.63074,9595643,0.014458851013684547
467,8582.62191,8393642,0.012600477932033593
471,8585.61301,7694473,0.01151951639446015
474,8587.60173,9298344,0.01399920708759651
479,8591.61303,5806155,0.00860005181764452
483,8594.66439,4663561,0.006833525888917431
