,m/z,I,normalised_intensity
1993,10291.3484,1201074,0.0014802918763281202
1999,10296.29245,1371631,0.0017439842839776494
2001,10298.67289,1551689,0.0020223658663023787
2003,10299.84959,1413305,0.0018084150455200457
2007,10302.05297,986473,0.001148504530314784
2010,10304.13841,991765,0.001156686312483099
2012,10306.53513,808965,0.0008740654167219521
2015,10309.6146,1039710,0.0012308124549736251
2020,10312.91781,1068046,0.0012746217859489416
2023,10314.11675,996992,0.001164767600350405
2027,10316.18952,1089761,0.0013081946128168482
2030,10322.37959,799505,0.0008594396307596958
2033,10325.00768,1831713,0.00245530149931452
2035,10326.20781,3853242,0.005580719096618324
2038,10327.41532,6081551,0.00902583225642481
2040,10328.62703,6936593,0.010347783766016727
2042,10331.04549,6777484,0.010101790723874165
2045,10333.46759,3833060,0.005549516389188065
2047,10334.67511,3364407,0.004824947840713509
2050,10335.89184,2574500,0.0036036993510636167
2053,10337.11034,1669400,0.002204354861165291
2058,10340.17534,806028,0.0008695246203825075
2060,10344.42608,1506697,0.0019528052572100076
2064,10351.4468,1818389,0.002434701713673811
2070,10358.68604,1303950,0.0016393449795684032
2073,10360.40312,925180,0.0010537414965954843
2075,10363.3513,1217327,0.0015054200897789184
2078,10365.94784,991724,0.0011566229237701547
2080,10367.88291,1012642,0.001188963535901072
2084,10371.66297,986184,0.0011480577171918355
2088,10375.30017,1005548,0.001177995742495549
2091,10376.57784,947350,0.001088017783570455
2094,10378.76878,796902,0.0008554152205208212
2096,10383.57,1082473,0.0012969268825744672
2099,10384.61761,947599,0.0010884027540466286
2101,10385.42196,849515,0.0009367583998899746
2103,10385.9005,914557,0.0010373176356782488
2106,10387.5057,1107837,0.001336141304894411
2109,10388.41017,872777,0.000972722991121899
2111,10389.40055,1192762,0.0014674409743283027
2113,10390.17569,945288,0.0010848297951292106
2115,10390.88675,973038,0.001127733131329275
2118,10392.57571,961432,0.0011097894873675473
2120,10394.69573,896948,0.0010100929565017825
2122,10401.61675,777842,0.0008259471993325967
2125,10406.53196,901238,0.001016725580368387
2128,10409.11122,788197,0.0008419567145164406
2130,10410.42503,1052983,0.0012513333912396957
2134,10418.03829,1104665,0.0013312371830051638
2136,10422.05633,1052001,0.0012498151542613728
2138,10424.47165,942802,0.0010809862746321524
2142,10426.19532,853464,0.0009428638151928233
2146,10430.48673,1011510,0.0011872133889973431
2148,10431.88511,1001364,0.001171527001642898
2152,10435.38483,736687,0.0007623188461321044
2154,10436.54523,1039602,0.001230645479827333
2157,10442.66263,765597,0.0008070156190886403
2160,10446.0609,1412780,0.0018076033607811253
2165,10450.01298,2234041,0.003077327209105497
2167,10451.23046,3232777,0.004621439150839112
2170,10452.44874,3426332,0.004920687988251851
2174,10453.66224,2917296,0.004133684649659558
2177,10456.1189,1911748,0.0025790409051801837
2179,10457.34573,1308607,0.0016465450097191672
2181,10458.56458,1438957,0.0018480747348967686
2184,10461.96236,769317,0.000812766985238703
2186,10473.60535,754428,0.0007897476060429278
2189,10475.9034,795024,0.0008525117082547413
2191,10478.00191,910469,0.0010309973171778572
2195,10480.68196,978935,0.0011368502835300601
2201,10485.50856,1149063,0.0013998794287929286
2205,10486.89724,1375515,0.0017499892049794889
2208,10489.20117,971986,0.0011261066697190961
2210,10490.14118,1145601,0.0013945269477145638
2212,10494.27054,1576735,0.0020610886395804624
2215,10498.50929,1440279,0.0018501186343726779
2217,10502.78957,2306502,0.00318935670980434
2219,10505.24658,977266,0.0011342698990933788
2222,10509.21729,2009967,0.002730893978269703
2224,10513.24876,2020431,0.002747072014666008
2228,10518.75808,2062740,0.0028124845282259557
2233,10521.65631,937769,0.0010732049236017046
2237,10526.40243,675637,0.0006679315064919622
2240,10530.64986,2410056,0.003349458045907457
2243,10535.66565,2898848,0.00410516282096699
2247,10545.70487,730618,0.0007529357705501876
2251,10552.21856,724067,0.0007428074910746335
2259,10559.35808,1029777,0.0012154553797132561
2262,10560.8422,906301,0.001024553313383916
2265,10562.27543,1052291,0.0012502635134504906
2267,10563.17764,1881016,0.0025315271996630526
2274,10565.79036,980297,0.0011389560256527442
2276,10566.93513,1100855,0.0013253466708998578
2278,10569.6101,1132488,0.0013742533820355928
2281,10575.30511,833184,0.0009115095932779654
2283,10578.72938,711458,0.0007233131427450258
2288,10583.12632,4061293,0.005902379709222276
2292,10584.35956,5371064,0.007927372341946418
2294,10585.59844,5713544,0.008456869083632837
2296,10586.26727,955424,0.001100500721821962
2298,10586.83478,5799675,0.008590033308866991
2301,10589.30762,4479824,0.0065494563291555825
2304,10590.55578,3504659,0.0050417867131002285
2306,10591.7898,3377641,0.004845408480398974
2311,10596.47403,734936,0.0007596116842695346
2313,10601.36414,690559,0.0006910019058713266
2316,10603.47545,801999,0.0008632955197861089
2320,10609.96124,952640,0.0010961964736064312
2322,10611.74375,763246,0.0008033808175244475
2324,10613.37435,1062585,0.001266178718598003
2329,10621.36479,2850495,0.004030405883479359
2332,10625.35828,6472293,0.009629945243577446
2335,10629.3886,4247958,0.006190976150728044
2337,10630.44953,1389539,0.0017716712369387577
2339,10633.3854,2049247,0.002791623457402623
2342,10634.85088,613942,0.0005725469541725749
2344,10637.36052,1555138,0.002027698248520542
2346,10639.30495,762232,0.0008018131064287046
2348,10641.38903,654447,0.0006351703643629758
2350,10643.04632,740894,0.0007688231465066511
2355,10647.96936,2096702,0.0028649920274701575
2358,10651.76998,1987224,0.002695731795379682
2362,10655.50994,2356028,0.0032659271829086427
2365,10659.25354,1529206,0.001987605660616395
2371,10663.00133,1010572,0.0011857631789304725
2374,10665.95154,944602,0.0010837691937370215
2377,10668.17842,901869,0.0010177011481212607
2379,10669.01719,634770,0.0006047484203482488
2381,10670.51875,924568,0.001052795304099829
2383,10676.89542,717462,0.0007325957240259333
2385,10677.92594,652592,0.0006323024116187913
2387,10679.78708,1451358,0.001867247501463147
2389,10681.03537,1346350,0.0017048981851497632
2391,10682.29436,2369356,0.0032865331528140287
2394,10683.53796,5229680,0.007708783322655969
2396,10684.41653,841379,0.0009241796055359664
2398,10684.78038,5460939,0.008066325038918699
2402,10686.03428,3743813,0.005411534621770148
2404,10687.2827,3284035,0.004700687410548766
2406,10688.53924,2997400,0.004257530734090909
2409,10689.79489,1368294,0.001738825061170456
2411,10691.04249,1825948,0.002446388427848092
2414,10694.78104,851320,0.0009395490493256905
2418,10698.04444,1038541,0.0012290051036216295
2421,10699.55575,844743,0.0009293805721297327
2423,10700.89832,830852,0.0009079041669709906
2425,10701.45198,1052098,0.0012499651226798019
2428,10702.32574,1034389,0.0012225858368863983
2430,10703.00223,1430925,0.001835656731424375
2435,10704.62211,1111921,0.001342455439130125
2440,10706.08155,1643009,0.0021635526288894024
2444,10707.31393,1093505,0.0013139830845549758
2447,10708.17624,1697354,0.0022475735948639074
2449,10708.58466,1366153,0.0017355149335018312
2454,10709.84304,1278764,0.0016004057570266075
2459,10711.08141,1435924,0.001843385516205064
2463,10712.12273,1451862,0.0018680267188125102
2467,10713.29401,720604,0.0007374534639300993
2469,10714.61071,1406517,0.0017979203483623506
2471,10715.79073,996341,0.001163761111274144
2477,10720.09228,841784,0.0009248057623345619
2480,10722.02249,891259,0.0010012973860642268
2482,10723.40864,951682,0.0010947153422161732
2486,10725.36395,982546,0.0011424331284676612
2489,10726.05126,737828,0.0007640829076313576
2492,10728.27365,1014728,0.0011921886299303814
2496,10729.52008,1253914,0.0015619860127177208
2498,10730.77889,820981,0.0008926429478131224
2506,10754.91174,826850,0.000901716810161165
2508,10758.62002,855029,0.0009452834087478902
2510,10760.45524,680452,0.0006753758150974869
2512,10761.34372,885476,0.0009923564854067504
2514,10762.34806,914700,0.001037538723140469
2516,10765.82189,562020,0.0004922721065264576
2518,10772.04328,551314,0.00047571992211716414
2520,10773.61803,611917,0.0005694161701795973
2524,10775.81267,494721,0.0003882233993939115
2526,10778.66072,785534,0.0008378395403074038
2530,10789.92193,1099342,0.0013230074727855984
2532,10792.08478,1833946,0.0024587538650707266
2535,10793.75479,1601783,0.002099814504990885
2537,10796.63596,1189284,0.001462063756191228
2539,10797.56063,1748750,0.0023270352117049356
2544,10801.36379,1083138,0.0012979550165770994
2547,10805.15978,650413,0.0006289335334357304
2549,10808.99186,700799,0.0007068336234456929
2554,10812.50894,718595,0.0007343474169958315
2558,10818.12418,615137,0.0005743945032449741
2561,10823.32669,507919,0.00040862838069727917
2563,10824.1237,566428,0.000499087166201048
2565,10825.08609,568630,0.0005024916039060045
2567,10826.97618,565172,0.0004971453070923171
2570,10833.91721,895437,0.0010077568505198618
2572,10835.24007,1146413,0.0013957823534440938
2576,10837.73269,835555,0.0009151753161655456
2580,10840.28477,996178,0.0011635091024885364
2582,10847.50525,486704,0.00037582858691405857
2589,10854.30282,776702,0.0008241846838995129
2591,10859.09292,1214554,0.0015011328482912507
2594,10861.19881,929900,0.0010610389289149188
2597,10862.35035,1064572,0.0012692507520765445
2601,10863.86255,1395689,0.0017811795438803936
2605,10866.17505,842511,0.0009259297524396952
2609,10867.68374,908500,0.0010279531128903644
2611,10868.84537,1050961,0.001248207245445226
2613,10870.09104,954133,0.0010985047503973033
2615,10871.42304,765852,0.0008074098659618301
2622,10876.7055,479553,0.00036477266773688155
2626,10879.25928,649899,0.0006281388554246732
2628,10881.80216,556441,0.00048364660336753287
2630,10883.08062,644490,0.0006197761835145417
2632,10883.51471,781296,0.0008312873118816065
2635,10885.98083,552152,0.0004770155255670976
2638,10888.59496,734022,0.0007581985797907287
2643,10892.06281,569989,0.0005045927078301806
2646,10894.93792,907072,0.0010257453304005017
2648,10898.60573,804196,0.0008666922271602184
2650,10899.67881,718670,0.0007344633719585344
2652,10901.17409,883916,0.0009899446221825305
2655,10902.23193,716858,0.0007316619000596329
2658,10905.5297,1665442,0.002198235531266918
2661,10907.77912,486589,0.0003756507893045808
2663,10908.58455,533610,0.00044834836665460755
2665,10909.52417,3351207,0.004804539767277802
2669,10913.52332,2464584,0.003433761941990957
2672,10917.52111,1743672,0.002319184287696866
2674,10919.09215,426609,0.0002829177404656662
2679,10927.55862,1759202,0.0023431946953072083
2681,10930.11395,1906285,0.0025705947456969064
2683,10931.39553,1886568,0.0025401109590354044
2689,10936.51743,460356,0.00033509283548345303
2692,10950.08536,544597,0.0004653349956574944
2695,10951.85042,526698,0.0004376619572919103
2697,10955.09889,821958,0.0008941534544605987
2704,10961.81499,493934,0.00038700664531861594
2706,10965.72325,465109,0.0003424412879864767
2708,10967.40742,508939,0.00041020536819003827
2712,10971.77388,582660,0.0005241829122622894
2715,10973.21576,609140,0.000565122744427252
2719,10974.66105,2072057,0.0028268892267259917
2723,10975.96821,1131608,0.0013728928438065456
2727,10979.66695,572603,0.0005086341247969182
2730,10985.855,556358,0.000483518279875475
2732,10988.86497,1866864,0.0025096472712341045
2735,10990.15225,3453463,0.004962634309493075
2740,10991.45158,4174707,0.006077725257755398
2743,10992.73521,4187009,0.006096744963771009
2746,10994.02065,4861046,0.007138850766375801
2749,10995.30525,4084972,0.005938989010046828
2753,10996.59784,3147943,0.004490280173426633
2757,10997.87478,2811819,0.00397061022831274
2759,10999.16869,1664972,0.002197508880167313
