,Compound,Mass
78,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + K + P₁N₃C₆H₁₂,8867.612786
79,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + OH + C₁₀H₁₄,8822.684453
80,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + OH + P₁N₃C₆H₁₂,8845.651786
81,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + C₁₀H₁₄ + P₁N₃C₆H₁₂,8962.758613
82,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Na + K + OH,8648.624
83,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Na + K + C₁₀H₁₄,8765.730827
84,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Na + K + P₁N₃C₆H₁₂,8788.69816
85,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Na + OH + C₁₀H₁₄,8743.769827
86,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Na + OH + P₁N₃C₆H₁₂,8766.73716
87,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Na + C₁₀H₁₄ + P₁N₃C₆H₁₂,8883.843987
88,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + K + OH + C₁₀H₁₄,8759.743827
89,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + K + OH + P₁N₃C₆H₁₂,8782.71116
90,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + K + C₁₀H₁₄ + P₁N₃C₆H₁₂,8899.817987
91,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8877.856987000001
92,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + Na,8748.548626
93,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + K,8764.522626
94,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + OH,8742.561626
95,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + C₁₀H₁₄,8859.668453
